_id,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
1,Alkoholunfälle,insgesamt,2026,202601,NA,34,NA,NA,NA
2,Alkoholunfälle,insgesamt,2026,202602,NA,24,NA,NA,NA
3,Alkoholunfälle,insgesamt,2026,202603,NA,28,NA,NA,NA
4,Alkoholunfälle,insgesamt,2026,202604,NA,26,NA,NA,NA
5,Alkoholunfälle,insgesamt,2026,202605,NA,43,NA,NA,NA
6,Alkoholunfälle,insgesamt,2026,202606,NA,39,NA,NA,NA
7,Alkoholunfälle,insgesamt,2026,202607,NA,48,NA,NA,NA
8,Alkoholunfälle,insgesamt,2026,202608,NA,55,NA,NA,NA
9,Alkoholunfälle,insgesamt,2026,202609,NA,53,NA,NA,NA
10,Alkoholunfälle,insgesamt,2026,202610,NA,32,NA,NA,NA
11,Alkoholunfälle,insgesamt,2026,202611,NA,39,NA,NA,NA
12,Alkoholunfälle,insgesamt,2026,202612,NA,25,NA,NA,NA
13,Alkoholunfälle,insgesamt,2025,Summe,446,443,NA,0.68,NA
14,Alkoholunfälle,insgesamt,2025,202501,34,24,17.24,41.67,38
15,Alkoholunfälle,insgesamt,2025,202502,24,28,-29.41,-14.29,37
16,Alkoholunfälle,insgesamt,2025,202503,28,25,16.67,12,38
17,Alkoholunfälle,insgesamt,2025,202504,26,38,-7.14,-31.58,37
18,Alkoholunfälle,insgesamt,2025,202505,43,32,65.38,34.38,38
19,Alkoholunfälle,insgesamt,2025,202506,39,55,-9.3,-29.09,36
20,Alkoholunfälle,insgesamt,2025,202507,48,45,23.08,6.67,37
21,Alkoholunfälle,insgesamt,2025,202508,55,47,14.58,17.02,37
22,Alkoholunfälle,insgesamt,2025,202509,53,46,-3.64,15.22,38
23,Alkoholunfälle,insgesamt,2025,202510,32,37,-39.62,-13.51,37
24,Alkoholunfälle,insgesamt,2025,202511,39,37,21.88,5.41,38
25,Alkoholunfälle,insgesamt,2025,202512,25,29,-35.9,-13.79,37
26,Alkoholunfälle,insgesamt,2024,Summe,443,465,NA,-4.73,NA
27,Alkoholunfälle,insgesamt,2024,202401,24,35,14.29,-31.43,38
28,Alkoholunfälle,insgesamt,2024,202402,28,33,16.67,-15.15,37
29,Alkoholunfälle,insgesamt,2024,202403,25,35,-10.71,-28.57,37
30,Alkoholunfälle,insgesamt,2024,202404,38,38,52,0,37
31,Alkoholunfälle,insgesamt,2024,202405,32,44,-15.79,-27.27,36
32,Alkoholunfälle,insgesamt,2024,202406,55,45,71.88,22.22,36
33,Alkoholunfälle,insgesamt,2024,202407,45,44,-18.18,2.27,37
34,Alkoholunfälle,insgesamt,2024,202408,47,37,4.44,27.03,37
35,Alkoholunfälle,insgesamt,2024,202409,46,61,-2.13,-24.59,36
36,Alkoholunfälle,insgesamt,2024,202410,37,40,-19.57,-7.5,36
37,Alkoholunfälle,insgesamt,2024,202411,37,32,0,15.63,36
38,Alkoholunfälle,insgesamt,2024,202412,29,21,-21.62,38.1,37
39,Alkoholunfälle,insgesamt,2023,Summe,465,493,NA,-5.68,NA
40,Alkoholunfälle,insgesamt,2023,202301,35,19,9.38,84.21,42
41,Alkoholunfälle,insgesamt,2023,202302,33,32,-5.71,3.13,43
42,Alkoholunfälle,insgesamt,2023,202303,35,28,6.06,25,43
43,Alkoholunfälle,insgesamt,2023,202304,38,34,8.57,11.76,43
44,Alkoholunfälle,insgesamt,2023,202305,44,57,15.79,-22.81,42
45,Alkoholunfälle,insgesamt,2023,202306,45,60,2.27,-25,41
46,Alkoholunfälle,insgesamt,2023,202307,44,54,-2.22,-18.52,40
47,Alkoholunfälle,insgesamt,2023,202308,37,44,-15.91,-15.91,40
48,Alkoholunfälle,insgesamt,2023,202309,61,56,64.86,8.93,40
49,Alkoholunfälle,insgesamt,2023,202310,40,49,-34.43,-18.37,39
50,Alkoholunfälle,insgesamt,2023,202311,32,28,-20,14.29,40
51,Alkoholunfälle,insgesamt,2023,202312,21,32,-34.38,-34.38,39
52,Alkoholunfälle,insgesamt,2022,Summe,493,383,NA,28.72,NA
53,Alkoholunfälle,insgesamt,2022,202201,19,16,-9.52,18.75,32
54,Alkoholunfälle,insgesamt,2022,202202,32,14,68.42,128.57,34
55,Alkoholunfälle,insgesamt,2022,202203,28,24,-12.5,16.67,34
56,Alkoholunfälle,insgesamt,2022,202204,34,16,21.43,112.5,36
57,Alkoholunfälle,insgesamt,2022,202205,57,24,67.65,137.5,38
58,Alkoholunfälle,insgesamt,2022,202206,60,48,5.26,25,39
59,Alkoholunfälle,insgesamt,2022,202207,54,44,-10,22.73,40
60,Alkoholunfälle,insgesamt,2022,202208,44,46,-18.52,-4.35,40
61,Alkoholunfälle,insgesamt,2022,202209,56,54,27.27,3.7,40
62,Alkoholunfälle,insgesamt,2022,202210,49,43,-12.5,13.95,41
63,Alkoholunfälle,insgesamt,2022,202211,28,33,-42.86,-15.15,40
64,Alkoholunfälle,insgesamt,2022,202212,32,21,14.29,52.38,41
65,Alkoholunfälle,insgesamt,2021,Summe,383,430,NA,-10.93,NA
66,Alkoholunfälle,insgesamt,2021,202101,16,28,23.08,-42.86,35
67,Alkoholunfälle,insgesamt,2021,202102,14,40,-12.5,-65,33
68,Alkoholunfälle,insgesamt,2021,202103,24,27,71.43,-11.11,32
69,Alkoholunfälle,insgesamt,2021,202104,16,26,-33.33,-38.46,32
70,Alkoholunfälle,insgesamt,2021,202105,24,40,50,-40,30
71,Alkoholunfälle,insgesamt,2021,202106,48,49,100,-2.04,30
72,Alkoholunfälle,insgesamt,2021,202107,44,58,-8.33,-24.14,29
73,Alkoholunfälle,insgesamt,2021,202108,46,46,4.55,0,29
74,Alkoholunfälle,insgesamt,2021,202109,54,46,17.39,17.39,30
75,Alkoholunfälle,insgesamt,2021,202110,43,34,-20.37,26.47,30
76,Alkoholunfälle,insgesamt,2021,202111,33,23,-23.26,43.48,31
77,Alkoholunfälle,insgesamt,2021,202112,21,13,-36.36,61.54,32
78,Alkoholunfälle,insgesamt,2020,Summe,430,434,NA,-0.92,NA
79,Alkoholunfälle,insgesamt,2020,202001,28,22,-20,27.27,37
80,Alkoholunfälle,insgesamt,2020,202002,40,28,42.86,42.86,38
81,Alkoholunfälle,insgesamt,2020,202003,27,34,-32.5,-20.59,37
82,Alkoholunfälle,insgesamt,2020,202004,26,36,-3.7,-27.78,36
83,Alkoholunfälle,insgesamt,2020,202005,40,39,53.85,2.56,36
84,Alkoholunfälle,insgesamt,2020,202006,49,40,22.5,22.5,37
85,Alkoholunfälle,insgesamt,2020,202007,58,48,18.37,20.83,38
86,Alkoholunfälle,insgesamt,2020,202008,46,31,-20.69,48.39,39
87,Alkoholunfälle,insgesamt,2020,202009,46,47,0,-2.13,39
88,Alkoholunfälle,insgesamt,2020,202010,34,45,-26.09,-24.44,38
89,Alkoholunfälle,insgesamt,2020,202011,23,29,-32.35,-20.69,38
90,Alkoholunfälle,insgesamt,2020,202012,13,35,-43.48,-62.86,36
91,Alkoholunfälle,insgesamt,2019,Summe,434,398,NA,9.05,NA
92,Alkoholunfälle,insgesamt,2019,201901,22,22,4.76,0,33
93,Alkoholunfälle,insgesamt,2019,201902,28,24,27.27,16.67,34
94,Alkoholunfälle,insgesamt,2019,201903,34,32,21.43,6.25,34
95,Alkoholunfälle,insgesamt,2019,201904,36,25,5.88,44,35
96,Alkoholunfälle,insgesamt,2019,201905,39,34,8.33,14.71,35
97,Alkoholunfälle,insgesamt,2019,201906,40,39,2.56,2.56,35
98,Alkoholunfälle,insgesamt,2019,201907,48,51,20,-5.88,35
99,Alkoholunfälle,insgesamt,2019,201908,31,40,-35.42,-22.5,34
100,Alkoholunfälle,insgesamt,2019,201909,47,36,51.61,30.56,35
101,Alkoholunfälle,insgesamt,2019,201910,45,43,-4.26,4.65,35
102,Alkoholunfälle,insgesamt,2019,201911,29,31,-35.56,-6.45,35
103,Alkoholunfälle,insgesamt,2019,201912,35,21,20.69,66.67,36
104,Alkoholunfälle,insgesamt,2018,Summe,398,409,NA,-2.69,NA
105,Alkoholunfälle,insgesamt,2018,201801,22,19,-47.62,15.79,34
106,Alkoholunfälle,insgesamt,2018,201802,24,22,9.09,9.09,35
107,Alkoholunfälle,insgesamt,2018,201803,32,36,33.33,-11.11,34
108,Alkoholunfälle,insgesamt,2018,201804,25,26,-21.88,-3.85,34
109,Alkoholunfälle,insgesamt,2018,201805,34,29,36,17.24,35
110,Alkoholunfälle,insgesamt,2018,201806,39,41,14.71,-4.88,34
111,Alkoholunfälle,insgesamt,2018,201807,51,52,30.77,-1.92,34
112,Alkoholunfälle,insgesamt,2018,201808,40,30,-21.57,33.33,35
113,Alkoholunfälle,insgesamt,2018,201809,36,47,-10,-23.4,34
114,Alkoholunfälle,insgesamt,2018,201810,43,32,19.44,34.38,35
115,Alkoholunfälle,insgesamt,2018,201811,31,33,-27.91,-6.06,35
116,Alkoholunfälle,insgesamt,2018,201812,21,42,-32.26,-50,33
117,Alkoholunfälle,insgesamt,2017,Summe,409,301,NA,35.88,NA
118,Alkoholunfälle,insgesamt,2017,201701,19,21,-5,-9.52,25
119,Alkoholunfälle,insgesamt,2017,201702,22,10,15.79,120,26
120,Alkoholunfälle,insgesamt,2017,201703,36,20,63.64,80,27
121,Alkoholunfälle,insgesamt,2017,201704,26,27,-27.78,-3.7,27
122,Alkoholunfälle,insgesamt,2017,201705,29,25,11.54,16,28
123,Alkoholunfälle,insgesamt,2017,201706,41,30,41.38,36.67,28
124,Alkoholunfälle,insgesamt,2017,201707,52,35,26.83,48.57,30
